Month,AdjSales,AvgSales,SalesStCt,SalesBase,SalesBaseChg,CompSales,PrevCompSales,CompSalesChg,AdjTrans,AvgTrans,TransStCt,TransBase,TransBaseChg,CompTrans,PrevCompTrans,CompTransChg,AvgCheck,CheckChg,SalesTDAdj,SalesSeasAdj,TransTDAdj,TransSeasAdj,AnltCompSales,PrevAnltCompSales,AnltCompSalesChg,AnltCompTrans,PrevAnltCompTrans,AnltCompTransChg,AnltCompCheckChg
1/1/2010,181887.4507,163164.4743,4113,182589.0285,-0.003842388,667308705,673346365,-0.008966648,35090.814,31373.5844,4113,35210.05361,-0.003386522,128351739,127561403,0.00619573,5.200695968,-0.015069015,1.010202382,0.897062847,0.997740427,0.894068299,663341715,670391680,-0.010516188,127604459,126996643,0.004786079,-0.015229378
2/1/2010,186832.4296,165714.9695,4109,183514.683,0.018078916,677864336,677352562,0.00075555,35598.23263,30910.4894,4109,35454.4545,0.004055291,126417641,126944442,-0.004149855,5.361124095,0.004925847,1,0.886971121,1,0.868315282,674602902,674736553,-0.000198079,125826489,126453137,-0.004955575,0.00478119
3/1/2010,190839.3094,191438.3525,4118,184472.8895,0.034511412,783166362,751660017,0.041915686,36918.52234,37052.4757,4118,35704.05449,0.034014844,151589848,143174925,0.05877372,5.166681818,-0.015922226,0.989721496,1.003138992,0.998242311,1.003628351,778806878,747690301,0.041616933,150776231,142441297,0.05851487,-0.015963817
4/1/2010,189607.5609,188862.6147,4119,185456.1096,0.022385088,772146135,744515897,0.037111683,36942.91679,37155.9762,4119,35950.77673,0.02759718,151954173,143461900,0.059195319,5.082967371,-0.020849447,1.00614851,0.996071116,1.006950774,1.00576726,766614718,739113091,0.037208957,150909193,142443282,0.059433558,-0.020977815
5/1/2010,190852.8583,197901.8009,4110,186385.5957,0.023967853,808188915,784715875,0.029912788,36719.1826,38500.4922,4110,36172.55704,0.015111609,157317454,150562089,0.044867636,5.140240802,-0.014312672,0.991823735,1.036933912,0.993306489,1.04851169,800231175,776808319,0.030152684,155819965,149081124,0.04520251,-0.014398957
6/1/2010,189456.6078,196636.6306,4110,187196.1468,0.012075361,801720115,772284229,0.038115353,37013.97264,38538.6802,4110,36358.62427,0.018024565,157200406,148234442,0.060485025,5.10231874,-0.021093813,0.99636228,1.03789798,1.000179333,1.041192756,794480507,764359517,0.039406836,155832026,146744311,0.061928908,-0.021208644
7/1/2010,193347.7097,210456.2119,4109,187838.2121,0.02933108,859025198,813175409,0.056383639,37754.77509,40437.935,4109,36496.68442,0.034471369,165137848,152837357,0.080480919,5.204425297,-0.022302365,1.011209819,1.088485673,1.007169345,1.071068094,850049545,804814512,0.056205538,163464310,151272342,0.080596148,-0.022571438
8/1/2010,195033.529,205326.8074,4109,188305.4863,0.035729403,837966084,800838519,0.046360863,37987.60127,40417.8841,4109,36585.30675,0.038329446,164969089,151982510,0.085447852,5.080097877,-0.036010011,0.98979844,1.052776969,0.993486346,1.063975685,827617773,791080114,0.046187053,163005436,150137764,0.085705766,-0.0363991
9/1/2010,194769.7143,190221.4224,4126,188618.8362,0.032610095,778117769,736548115,0.056438477,37550.91156,37967.7775,4126,36626.70273,0.025233198,155362538,144971962,0.071673004,5.010075251,-0.014215648,0.996301132,0.976647848,1.002009197,1.011101353,770871822,730167127,0.055747093,153981015,143736264,0.071274644,-0.014494463
10/1/2010,191873.9612,203539.9273,4131,188897.6085,0.015756434,834385982,790692534,0.05525972,37282.38273,39561.0612,4131,36640.77864,0.017510657,162199664,151562775,0.070181408,5.144956201,-0.013943139,1.011036582,1.060800152,1.001509813,1.061119443,826006914,784251130,0.053242874,160643882,150360554,0.068391129,-0.014178567
